epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.6898,2.34529,3.45303,2.19884,0.60872,0.13786,0.13223,0.05516,2.09375,2.76905,2.04493,0.000331852,0.000331852,0.000331852
2,59.6639,2.19536,2.94289,2.10786,0.47035,0.21133,0.17122,0.07445,2.04174,2.3909,2.07979,0.000661893,0.000661893,0.000661893
3,82.65,2.12779,2.7962,2.06263,0.4181,0.16024,0.16246,0.06641,2.06145,2.39934,2.04696,0.000988633,0.000988633,0.000988633
4,105.641,2.07203,2.74062,2.03137,0.3058,0.33223,0.25894,0.12569,1.95707,2.22636,1.96225,0.00098515,0.00098515,0.00098515
5,128.727,2.0199,2.65498,2.00217,0.30315,0.31419,0.27409,0.13027,1.9217,2.15395,1.92623,0.0009802,0.0009802,0.0009802
6,151.713,1.97525,2.59416,1.96318,0.25526,0.25685,0.23683,0.12228,1.9158,2.08874,1.92974,0.00097525,0.00097525,0.00097525
7,174.83,1.94063,2.52244,1.935,0.52173,0.33027,0.30819,0.15336,1.81574,2.01535,1.86271,0.0009703,0.0009703,0.0009703
8,198.769,1.90077,2.47966,1.90888,0.55221,0.35588,0.3278,0.15452,1.82498,2.06574,1.89551,0.00096535,0.00096535,0.00096535
9,223.076,1.88189,2.44307,1.88814,0.28089,0.38171,0.31373,0.16149,1.71675,1.9181,1.77511,0.0009604,0.0009604,0.0009604
10,247.11,1.87124,2.41391,1.87807,0.42702,0.38692,0.36829,0.19441,1.73239,1.83165,1.7841,0.00095545,0.00095545,0.00095545
11,271.349,1.82627,2.3853,1.85966,0.43471,0.31617,0.32093,0.17074,1.691,1.81877,1.75526,0.0009505,0.0009505,0.0009505
12,295.5,1.78342,2.35374,1.83257,0.40686,0.39545,0.32428,0.18118,1.65158,1.80874,1.7543,0.00094555,0.00094555,0.00094555
13,319.276,1.80027,2.3166,1.84197,0.37061,0.41604,0.35736,0.191,1.62552,1.7426,1.71411,0.0009406,0.0009406,0.0009406
14,342.876,1.77279,2.30091,1.81157,0.56274,0.35587,0.40297,0.22039,1.63614,1.73923,1.70733,0.00093565,0.00093565,0.00093565
